KeyName,ID,Label_KR,Detail_KR,Option1_KR,Option2_KR,Label_EN,Detail_EN,Option1_EN,Option2_EN,Label_JP,Detail_JP,Option1_JP,Option2_JP,Label_SC,Detail_SC,Option1_SC,Option2_SC,Label_TC,Detail_TC,Option1_TC,Option2_TC
,10,부시몬,나무 덩쿨이 얽혀있는 듯한 모습의 몬스터입니다. \방어력이 높기 때문에 수비용으로 적절합니다.,극한의 방어력,전투 시 DEF가 50 이상,Bushimon,A monster that looks like intertwined wood vines. \Its high defense makes it suitable for defensive purposes.,Ultimate Defense,DEF 50 or higher in combat,ブッシュモン,木のつるが絡まったような姿のモンスターです。\防御力が高いため- 防御用として適しています。,究極の防御力,戦闘時DEFが50以上,布什魔,一种看起来像缠绕的木藤的怪物。\因为防御力高- 所以适合用于防守。,极限防御力,战斗时防御力50以上,布什魔,一種看起來像缠绕的木藤的怪物。\因為防禦力高- 所以適合用於防守。,極限防禦力,戰鬥時防禦力50以上
,11,그리피,독수리와 사자의 모습을 가지고 있는 몬스터입니다. \충분히 강하지만- 더 강해질 수 있다고 하네요.,싸워라. 이겨라.,레벨 25이상 \모험가에게 100번 승리하기,Griffy,A monster with the appearance of an eagle and a lion. \It's already strong- but they say it can become even stronger.,Fight. Win.,Level 25 or higher \Win against adventurers 100 times,グリフィ,ワシとライオンの姿を持つモンスターです。\十分に強いですが- さらに強くなれるそうです。,戦え。勝て。,レベル25以上 \冒険者に100回勝利,格里菲,一种具有鹰和狮子外貌的怪物。\虽然已经很强大- 但据说还能变得更强。,战斗。获胜。,等级25以上 \对冒险者胜利100次,格里菲,一種具有鹰和狮子外貌的怪物。\雖然已經很強大- 但据說還能变得更強。,戰鬥。獲勝。,等級25以上 \對冒險者勝利100次
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,20,서큐버스,아름다운 모습으로 꿈 속에 나타나 정기를 빼앗는다고 알려진 몬스터입니다.,더 많은 정기가 필요해.,정기흡수가 1000이상일 때 대화,Succubus,A monster known to appear in dreams with beautiful form- stealing life essence.,More life force is needed.,Dialogue when life drain is 1000 or higher,サキュバス,美しい姿で夢の中に現れ、精気を奪うと言われるモンスターです。,もっと多くの精気が必要だ。,生命吸収が1000以上の時に会話,魅魔,以美丽的形象出现在梦中- 据说会吸取精气的怪物。,需要更多的生命力。,生命汲取1000以上时对话,魅魔,以美丽的形象出現在夢中- 据說會吸取精氣的怪物。,需要更多的生命力。,生命汲取1000以上時對話
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Lievil,66,라이빌,무시무시한 힘을 가진 생명체. \무언가 비밀을 가지고 있어요.,,,Lievil,A being with terrifying power. \Holds some kind of secret.,,,リーヴィル,恐ろしい力を持つ生命体。\何か秘密を持っているようです。,,,利维尔,拥有可怕力量的生命体。\似乎藏有某种秘密。,,,利維尔,擁有可怕力量的生命体。\似乎藏有某種秘密。,,
,,,,,,,,,,,,,,,,,,,,,
Ravi,77,라비,따스하고 신비로운 힘을 가진 생명체. \무언가 비밀을 가지고 있어요.,,,Ravi,A being with warm and mysterious power. \Holds some kind of secret.,,,ラヴィ,温かく神秘的な力を持つ生命体。\何か秘密を持っているようです。,,,拉维,拥有温暖而神秘力量的生命体。\似乎藏有某种秘密。,,,拉維,擁有溫暖而神秘力量的生命体。\似乎藏有某種秘密。,,
,,,,,,,,,,,,,,,,,,,,,
Rideer,88,라이디아,강한 힘과 정의로움을 가진 생명체. \무언가 비밀을 가지고 있어요.,,,Rideer,A being with strong power and righteousness. \Holds some kind of secret.,,,リディア,強い力と正義を持つ生命体。\何か秘密を持っているようです。,,,莱迪亚,拥有强大力量与正义的生命体。\似乎藏有某种秘密。,,,莱迪亞,擁有強大力量与正義的生命体。\似乎藏有某種秘密。,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,501,블러디슬라임,슬라임의 진화 형태인 블러디 슬라임입니다. \겉으로 보기엔 비슷해 보여도 상당히 강력해졌습니다.,,,Bloody Slime,It's the evolved form of a slime- a Bloody Slime. It may look similar on the outside- but it has become considerably more powerful.,,,ブラッディスライム,スライムの進化形態であるブラッディスライムです。外見は似ていても、かなり強力になっています。,,,血腥史莱姆,史莱姆的进化形态- 血腥史莱姆。虽然外表看起来相似- 但变得相当强大。,,,血腥史莱姆,史莱姆的進化形態- 血腥史莱姆。雖然外表看起來相似- 但变得相當強大。,,
,502,플레임골렘,어스 골렘의 진화 형태인 플레임 골렘입니다. \더 튼튼하고 더 강해졌습니다.,,,Flame Golem,It's the evolved form of an Earth Golem- a Flame Golem. It's even sturdier and stronger.,,,フレイムゴーレム,アースゴーレムの進化形態であるフレイムゴーレムです。より頑丈で、より強くなっています。,,,烈焰巨像,土元素巨像的进化形态- 烈焰巨像。变得更加坚固和强大。,,,烈焰巨像,土元素巨像的進化形態- 烈焰巨像。变得更加坚固和強大。,,
,503,머쉬걸,머쉬보이가 진화하여 머쉬걸이 되었습니다. \원거리에서 작은 버섯을 떨어트려 공격합니다.,,,MushGirl,MushBoy has evolved into MushGirl. \Attacks by dropping small mushrooms from long range.,,,マッシュガール,マッシュボーイが進化してマッシュガールになりました。\遠距離から小さなキノコを落として攻撃します。,,,蘑菇女孩,蘑菇小子进化成了蘑菇女孩。\从远距离投掷小蘑菇进行攻击。,,,蘑菇女孩,蘑菇小子進化成了蘑菇女孩。\從遠距離投擲小蘑菇進行攻擊。,,
,,,,,,,,,,,,,,,,,,,,,
Pixie,505,픽시,페어리가 진화한 형태. 모두와 사이좋게 지내는 착한 요정 친구입니다.,,,Pixie,The evolved form of a Fairy. A friendly fairy who gets along well with everyone.,,,ピクシー,フェアリーの進化形態。みんなと仲良く過ごす優しい妖精の友達です。,,,小精灵,精灵的进化形态。是一个与所有人都友好相处的善良精灵朋友。,,,小精靈,精靈的進化形態。是一個与所有人都友好相處的善良精靈朋友。,,
,506,샐린느,살라만드라가 진화한 형태. 어째서인지 두발로 걸을 수 있습니다. \보기와는 다르게 상당히 강합니다.,,,Salinu,The evolved form of Salamandra. Can walk on two legs for some reason. \Much stronger than it appears.,,,サリーヌ,サラマンドラの進化形態。なぜか二足歩行ができます。\見た目以上に非常に強いです。,,,萨琳,火蜥蜴的进化形态。不知为何能够双足行走。\比外表看起来强大得多。,,,萨琳,火蜥蜴的進化形態。不知为何能夠双足行走。\比外表看起來強大得多。,,
,507,헬하운드,그레이하운드가 진화하여 헬하운드가 되었습니다. \보기만 해도 든든한 친구입니다.,,,Hellhound,The Greyhound has evolved into a Hellhound. \Just looking at it makes you feel secure.,,,ヘルハウンド,グレイハウンドが進化してヘルハウンドになりました。\見ているだけで頼もしい仲間です。,,,地狱犬,灰猎犬进化成了地狱犬。\光是看着就让人感到安心的伙伴。,,,地狱犬,灰猎犬進化成了地狱犬。\光是看着就讓人感到安心的伙伴。,,
,,,,,,,,,,,,,,,,,,,,,
,510,트리몬,작은 덤불이 자라 큰 나무가 되었습니다. \더욱 튼튼해지고 강해졌어요.,,,TreeMon,A small bush has grown into a large tree. \It has become more sturdy and stronger.,,,ツリーモン,小さな茂みが成長して大きな木になりました。\より頑丈で強くなりました。,,,树怪,小灌木成长为大树。\变得更加坚固和强大了。,,,樹怪,小灌木成長為大樹。\變得更加堅固和強大了。,,
,511,그리폰,그리피의 진화 형태입니다. 비로소 완전한 형태가 되었습니다. \다방면에 뛰어난 모습을 보이는 만능형 몬스터입니다.,,,Griffin,The evolved form of Griffy. It has finally reached its complete form. \This is a versatile monster that excels in various aspects.,,,グリフォン,グリフィの進化形態です。ついに完全な形になりました。\様々な面で優れた能力を持つ万能型モンスターです。,,,格里芬,格里菲的进化形态。终于达到了完整的形态。\这是一种在各方面都表现出色的全能型怪物。,,,格里芬,格里菲的進化形態。終於达到了完整的形態。\這是一種在各方面都表現出色的全能型怪物。,,
,,,,,,,,,,,,,,,,,,,,,
Lilith,520,릴리트,몽마의 왕이며 상위 악마 중 하나입니다. \다가가기 어려운 존재이지만- 그렇게 나쁜 짓은 하지 않는다고 해요.,,,Lilith,The queen of succubi and one of the high^ranking demons. \Though difficult to approach- it's said she doesn't commit particularly evil deeds.,,,リリス,サキュバスの女王であり上位悪魔の一人です。\近寄りがたい存在ですが- それほど悪いことはしないと言われています。,,,莉莉丝,魅魔之王- 也是高阶恶魔之一。\虽然难以接近- 但据说并不会做什么特别邪恶的事。,,,莉莉絲,魅魔之王- 也是高階恶魔之一。\雖然難以接近- 但据說并不會做什么特别邪恶的事。,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,901,녹빛 궁사,녹색 머리를 한 모험가. 무언가를 찾고 있는 것 같아요.,그녀에게 이름을 듣자.,유닛의 이름을 실제 이름으로 변경,Verdant Archer,An adventurer with green hair. Seems to be looking for something.,Let's hear her name.,Change unit name to actual name,緑色の弓矢,緑色の髪の冒険者。何かを探しているようだ。,彼女に名前を聞こう。,ユニットの名前を実際の名前に変更,翠绿弓手,绿色头发的冒险者。似乎在寻找什么。,让我们听听她的名字。,将单位名称更改为真实姓名,翠綠弓手,綠色頭发的冒險者。似乎在寻找什么。,讓我們聽聽她的名字。,將單位名稱更改為真實姓名
,902,레나,내 이름을 불러줘서 고마워,,,Rena,Thank you for calling my name,,,レナ,私の名前を呼んでくれてありがとう,,,雷娜,谢谢你呼唤我的名字,,,雷娜,謝謝你呼唤我的名字,,
,,,,,,,,,,,,,,,,,,,,,
Utori,905,우투리,행상인 겸 모험가. \돈을 밝히고- 호기심이 매우 많은 편입니다.,,,Utori,A traveling merchant and adventurer. \Loves gold and is very curious.,,,ウトリ,行商人兼冒険者。\ゴールドを好み- 好奇心が非常に旺盛です。,,,于斗莉,行商兼冒险者。\喜欢金币- 而且非常富有好奇心。,,,於斗莉,行商兼冒險者。\喜歡金幣- 而且非常富有好奇心。,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mastia,911,마스티아,우연히 던전을 찾아온 다른 세계의 손님. \무대 위에서 노래하는 것이 꿈이라고 한다.,,,Mastia,A visitor from another world who happened to find the dungeon. \She dreams of singing on stage.,,,マスティア,偶然ダンジョンを訪れた異世界からの客。\ステージで歌うことが夢だという。,,,玛斯蒂娅,偶然找到地下城的异世界访客。\她梦想在舞台上唱歌。,,,玛斯蒂娅,偶然找到地下城的異世界訪客。\她夢想在舞台上唱歌。,,
Karen,912,카렌,우연히 던전을 찾아온 다른 세계의 손님. \모험을 찾아 어디든 다니는 강한 모험가이다.,,,Karen,A visitor from another world who happened to find the dungeon. \A strong adventurer who travels anywhere in search of adventure.,,,カレン,偶然ダンジョンを訪れた異世界からの客。\冒険を求めてどこへでも行く強い冒険者だ。,,,卡伦,偶然找到地下城的异世界访客。\一位为寻找冒险而四处旅行的强大冒险者。,,,卡倫,偶然找到地下城的異世界訪客。\一位为寻找冒險而四處旅行的強大冒險者。,,
Stan,913,스탄,우연히 던전을 찾아온 다른 세계의 손님. \강하지만 성격은 본능에 충실한 특이한 모험가이다.,,,Stan,A visitor from another world who happened to find the dungeon. \A strong but peculiar adventurer who stays true to their instincts.,,,スタン,偶然ダンジョンを訪れた異世界からの客。\強いが性格は本能に忠実な変わった冒険者だ。,,,斯坦,偶然找到地下城的异世界访客。\虽然强大但性格特异的冒险者 - 忠于本能。,,,斯坦,偶然找到地下城的異世界訪客。\雖然強大但性格特異的冒險者 - 忠於本能。,,
Euh,914,에우,우연히 던전을 찾아온 다른 세계의 손님. \목검을 들었지만 매우 강하다. 그녀가 말하는 것은 아무도 본 적이 없다고 한다.,,,Euh,A visitor from another world who happened to find the dungeon. \Although wielding a wooden sword - she is extremely powerful. They say no one has ever heard her speak.,,,エウ,偶然ダンジョンを訪れた異世界からの客。\木刀を持っているが非常に強い。彼女が話すところを誰も見たことがないという。,,,艾乌,偶然找到地下城的异世界访客。\虽然只持木剑 - 但非常强大。据说没人见过她说话。,,,艾乌,偶然找到地下城的異世界訪客。\雖然只持木剑 - 但非常強大。据說沒人見過她說話。,,
Romys,915,로미스,우연히 던전을 찾아온 다른 세계의 손님. \무언가 위험한 오오라가 나오는 것 같다. \심기를 거스르지 않게 조심하자.,,,Romys,A visitor from another world who happened to find the dungeon. \It seems a dangerous aura emanates from them. \Let's be careful not to upset them.,,,ロミス,偶然ダンジョンを訪れた異世界からの客。\何か危険なオーラが出ているようだ。\機嫌を損ねないよう気をつけよう。,,,罗米斯,偶然找到地下城的异世界访客。\似乎散发着某种危险的气息。\小心不要惹恼他。,,,羅米斯,偶然找到地下城的異世界訪客。\似乎散发着某種危险的氣息。\小心不要惹恼他。,,
Siri,916,시리,우연히 던전을 찾아온 다른 세계의 손님. \주변까지 밝게 만드는 따뜻한 미소를 지녔다.,,,Siri,A visitor from another world who happened to find the dungeon. \They possess a warm smile that brightens even their surroundings.,,,シーリ,偶然ダンジョンを訪れた異世界からの客。\周囲まで明るくする温かい笑顔を持っている。,,,希莉,偶然找到地下城的异世界访客。\拥有能照亮周围的温暖笑容。,,,希莉,偶然找到地下城的異世界訪客。\擁有能照亮周围的溫暖笑容。,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,991,초보자 던전 마스터,모험레벨은 낮아도 던전 지식은 상당한 편이에요.,,,Novice Dungeon Master,Their adventure level is low- but they have quite a bit of Dungeon knowledge.,,,見習いダンジョンマスター,冒険レベルは低くてもダンジョンの知識はかなりのものです。,,,新手地下城主人,虽然冒险等级较低- 但对地下城的知识相当丰富。,,,新手地下城主人,雖然冒險等級较低- 但對地下城的知識相當丰富。,,
,992,초보자 던전 마스터,모험레벨은 낮아도 던전 지식은 상당한 편이에요.,,,Novice Dungeon Master,Their adventure level is low- but they have quite a bit of Dungeon knowledge.,,,見習いダンジョンマスター,冒険レベルは低くてもダンジョンの知識はかなりのものです。,,,新手地下城主人,虽然冒险等级较低- 但对地下城的知识相当丰富。,,,新手地下城主人,雖然冒險等級较低- 但對地下城的知識相當丰富。,,
,993,초보자 던전 마스터,모험레벨은 낮아도 던전 지식은 상당한 편이에요.,,,Novice Dungeon Master,Their adventure level is low- but they have quite a bit of Dungeon knowledge.,,,見習いダンジョンマスター,冒険レベルは低くてもダンジョンの知識はかなりのものです。,,,新手地下城主人,虽然冒险等级较低- 但对地下城的知识相当丰富。,,,新手地下城主人,雖然冒險等級较低- 但對地下城的知識相當丰富。,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
